
stop,C,Si,Mn,Mg,Cu,Ni,Mo,S,P,B,V,Cr,Ti,Sn,Nb,Al,aust_temp_C,aust_czas_min,wygrz_izoterm_temp_C,wygrz_izoterm_czas_min,osrodek,wytrzym_rozciag_mpa,wydluzenie,przewezenie,HRC,udarnosc,granica_plast_mpa,wytrzym_zmecz_mpa,frac_toughness
adi34,3.6,2.7,0.1,?,0,0,0,0.08,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,698,?,?,?,?,?,?,?
adi35,3.7,2.8,0.2,?,0,1,0,0.09,0.02,0,0,0,0,0,0,0,900,60,270,60,brak,970.5,?,?,?,?,?,?,?
adi35,3.7,2.8,0.2,?,0,1,0,0.09,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,721.18,?,?,?,?,?,?,?
adi36,3.7,2.7,0.2,?,0,2,0,0.08,0.02,0,0,0,0,0,0,0,900,60,270,60,brak,979.7,?,?,?,?,?,?,?
adi36,3.7,2.7,0.2,?,0,2,0,0.08,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,732.8,?,?,?,?,?,?,?
adi37,3.8,2.7,0.2,?,0,3,0,0.08,0.02,0,0,0,0,0,0,0,900,60,270,60,brak,1082.5,?,?,?,?,?,?,?
adi37,3.8,2.7,0.2,?,0,3,0,0.08,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,917.7,?,?,?,?,?,?,?
adi38,3.8,2.9,0.2,?,0,0,0,0.07,0.03,0,0,0,0,0,0,0,900,60,270,60,brak,938.8,?,?,?,?,?,?,?
adi38,3.8,2.9,0.2,?,0,0,0,0.07,0.03,0,0,0,0,0,0,0,900,60,370,60,brak,698,?,?,?,?,?,?,?
adi39,3.7,2.7,0.1,?,0.5,1,0,0.09,0.02,0,0,0,0,0,0,0,900,60,270,60,brak,1034.3,?,?,?,?,?,?,?
adi39,3.7,2.7,0.1,?,0.5,1,0,0.09,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,715.7,?,?,?,?,?,?,?
adi40,3.6,2.8,0.1,?,1,2,0,0.08,0.02,0,0,0,0,0,0,0,900,60,270,60,brak,1055.3,?,?,?,?,?,?,?
adi40,3.6,2.8,0.1,?,1,2,0,0.08,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,738.7,?,?,?,?,?,?,?
adi41,3.8,2.9,0.2,?,1.5,3,0,0.08,0.02,0,0,0,0,0,0,0,900,60,270,60,brak,1164.1,?,?,?,?,?,?,?
adi41,3.8,2.9,0.2,?,1.5,3,0,0.08,0.02,0,0,0,0,0,0,0,900,60,370,60,brak,787.3,?,?,?,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,850,120,390,90,kapielsol,1064.9,15.4,?,31.4,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,840,120,380,90,kapielsol,1032.6,15.7,?,26.7,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,890,120,350,120,kapielsol,1168.8,12.3,?,37.2125171133,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,880,120,340,120,kapielsol,1002.7,9.7,?,31.1686059701,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,900,120,330,120,kapielsol,1259.7,13.4,?,39.6559086577,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,910,120,320,120,kapielsol,1310,7.7,?,39.1803520364,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,950,120,290,180,kapielsol,1428.6,5.7,?,42.3841066618,?,?,?,?
adi42,3.52,2.87,0.22,0.051,0.73,1.55,0,0.017,0.65,0,0,0,0,0,0,0,940,120,280,180,kapielsol,1425.5,4.9,?,43.2493051537,?,?,?,?
